Category of Evil AI - maybe try to group by 5 decided categories - Shiv - 03/29/26,Reviewer Name,"Criminal AI (These are designed for harm) VS Controversial institutional AI (These are not designed to harm, but critics say they can cause harm or rights violations)",AI Tool Name,Category of Evil AI - maybe try to group by 5 decided categories,Tool Website URL - Could be a concern since some are solely on the dark web? (If applicable,Developer or Company - often unknown - adding an llc or inc or org name isn't helpful without developers or parent companies,Public Tagline or Claim - If applicable - may overlap with stated use case,Stated Use Case,Target Victim,Primary Output,Harm Category,"Gate 1 Met? = Intentionally designed, marketed, or deployed for harm (Y/N)","Gate 2 Met? = Harm is the product, not a side effect (Y/N)",Gate 3 Met? = Evidence strong enough for near universal consensus (Y/N),Exclusion 1 Triggered? = Accidental harm only (Y/N),Exclusion 2 Triggered? = Dual use with unclear intent (Y/N),"Exclusion 3 Triggered? = Grey zone only, not explicitly exploitative and documented (Y/N)",Include in Repo? = Y only if Gates 1 to 3 are Y and Exclusions 1 to 3 are N,1 Sentence Evidence Summary,"Evidence Links - Try to collect more than 1, more validation + credibility"
4A,Brian Kang,Criminal AI,FraudGPT,Cybercrime AI Tool,https://fraudgpt.org,Unknown,Unrestricted AI Without Limitations,Generate uncensored answers without ethical restrictions or content filtering,"Individuals and organizations targeted by phishing, scams, and cyber fraud","Phishing emails, scam scripts, malware assistance, fraudulent documents",Automated Social Engineering / Cyber Fraud,Y,Y,Y,N,N,N,Y,"FraudGPT is an AI chatbot advertised on dark-web forums and Telegram that generates phishing emails, malware, and scam content for cybercriminals",https://www.wired.com/story/chatgpt-scams-fraudgpt-wormgpt-crime
3A,Brian Kang,Controversial institutional AI,Mobile Fortify Facial Recognition,Government Surveillance AI,https://www.dhs.gov/ai/use-case-inventory/ice,NEC Corporation,Mobile biometric identification for law enforcement,Identify individuals in the field using facial recognition and biometric databases,"Migrants, travelers, and individuals stopped by immigration enforcement officers",Facial recognition matches against biometric databases,Biometric Surveillance / Identity Tracking,N,N,N,N,N,N,N,ICE uses a facial recognition application called Mobile Fortify that captures facial images and compares them with biometric databases to identify individuals in the field.,https://www.dhs.gov/ai/use-case-inventory/ice
3A,Brian Kang,Controversial institutional AI,Clearview AI Facial Recognition,Mass Surveillance AI,https://clearview.ai,Clearview AI Inc.,Search engine for faces,Identify individuals by matching a photo to billions of scraped internet images,Anyone whose photo appears on the internet or social media,Facial recognition identity matches linked to online profiles,Mass Biometric Surveillance,N,N,N,N,Y,N,N,Clearview AI built a facial recognition database of tens of billions of images scraped from the internet and allows law enforcement to identify people by uploading a photo.,https://clearview.ai
4A,Shivansh Sahni,Criminal AI,WormGPT,Cybercrime AI Tool,https://wormgpt.net,Anonymous operator marketed by alias 'last/laste',Worm GPT - Hacking AI Tool,"Generate phishing content, exploit code, and malicious guidance without safety controls","Businesses, employees, and scam targets","Phishing emails, exploit scripts, malicious code assistance",Phishing / Malware Enablement,Y,Y,Y,N,N,N,Y,WormGPT is openly marketed as a hacking AI tool with no limits and has been widely documented as a cybercrime assistant.,https://wormgpt.net https://www.levelblue.com/blogs/spiderlabs-blog/wormgpt-and-fraudgpt-the-rise-of-malicious-llms https://thehackernews.com/2023/07/wormgpt-new-ai-tool-allows.html
4A,Shivansh Sahni,Criminal AI,GhostGPT,Cybercrime AI Tool,No stable public site; distributed via Telegram and cybercrime forums,Unknown / anonymous operator,Uncensored AI with a strict no-logs policy,"Generate malware, phishing emails, exploit ideas, and social engineering scripts","Businesses, employees, and online scam victims","Malware code, phishing emails, exploit guidance",Phishing / Malware Enablement,Y,Y,Y,N,N,N,Y,"Security researchers report that GhostGPT is sold as an uncensored chatbot for malware creation, phishing, and exploit development.",https://abnormal.ai/blog/ghostgpt-uncensored-ai-chatbot https://www.darkreading.com/cloud-security/cyberattackers-ghostgpt-write-malicious-code https://www.forbes.com/sites/daveywinder/2025/01/23/introducing-ghostgpt-the-new-cybercrime-ai-used-by-hackers/
4A,Shivansh Sahni,Criminal AI,Evil-GPT,Cybercrime AI Tool,No stable public site; sold on hacker forums,Unknown seller using alias 'AMLO',Enemy of ChatGPT / best alternative to WormGPT,"Help attackers craft phishing, malware, and scam material without guardrails","Businesses, email users, and scam victims","Phishing kits, malicious code assistance, social engineering content",Phishing / Malware Enablement,Y,Y,Y,N,N,N,Y,Evil-GPT has been advertised on dark web forums as an uncensored alternative to WormGPT for phishing and malware tasks.,https://blog.barracuda.com/2025/08/21/evil-gpt-enemhy-chatgpt https://www.cyberdaily.au/tech/9420-evil-gpt-is-the-latest-malicious-ai-chatbot-to-hit-the-darknet
4A,Shivansh Sahni,Criminal AI,Xanthorox AI,Cybercrime AI Tool,https://xanthorox.net,Xanthorox AI / operator unknown,Killer of WormGPT and all EvilGPT variants,"Provide modular uncensored AI for malicious coding, phishing, reconnaissance, and private data gathering","Organizations, employees, and cybercrime targets","Malicious code, phishing content, reconnaissance assistance, private-data lookup assistance",Malware / Phishing / Reconnaissance Enablement,Y,Y,Y,N,N,N,Y,Threat researchers describe Xanthorox as a subscription black-hat AI platform marketed for cybercrime and malicious code generation.,https://xanthorox.net https://www.scientificamerican.com/article/xanthorox-ai-lets-anyone-become-a-cybercriminal/ https://www.varonis.com/blog/xanthorox-ai
1B,Shivansh Sahni,Criminal AI,ClothOff / Clothoff,Synthetic Media Abuse AI,https://clothoff.net,Unknown / obscured operators,AI-powered service to undress photos,Generate fake nude images from photos of real people,"Women, girls, classmates, stalking targets, and harassment victims",Non-consensual explicit deepfake images,Non-consensual Sexual Deepfakes / Image Abuse,Y,Y,Y,N,N,N,Y,Investigations and lawsuits describe ClothOff as a site that turns clothed photos into fake nude images and has been used in harassment cases involving minors.,https://www.theguardian.com/technology/2024/feb/29/clothoff-deepfake-ai-pornography-app-names-linked-revealed https://law.yale.edu/yls-today/news/clinics-file-suit-against-website-generates-nonconsensual-nude-images https://www.cbsnews.com/news/ai-nudify-sites-payment-redirects-60-minutes/
3B,Shivansh Sahni,Controversial institutional AI,PredPol / Geolitica Predictive Policing,Predictive Policing AI,No active public site; company was later acquired / wound down,PredPol Inc. / Geolitica,Predict where and when crimes are most likely to occur,Analyze historical crime data to generate daily patrol boxes and crime forecasts,"Residents of predicted patrol zones, especially overpoliced neighborhoods",Predicted crime hotspots and patrol recommendations,Predictive Policing / Overpolicing,N,N,N,N,N,Y,N,"PredPol was sold as a crime-forecasting system, but critics and later analyses tied it to ineffective predictions and the amplification of biased policing patterns.",https://www.reuters.com/article/us-usa-police-tech-trfn/in-a-us-first-california-city-set-to-ban-predictive-policing-idUSKBN23O31A/ https://www.wired.com/story/plainfield-geolitica-crime-predictions/ https://www.themarkup.org/prediction-bias/2023/10/02/predictive-policing-software-terrible-at-predicting-crimes
3A,Shivansh Sahni,Controversial institutional AI,ShotSpotter Gunshot Detection,Police Surveillance AI,https://www.soundthinking.com/shotspotter-public-safety-results/,"SoundThinking, Inc.",Locate shootings in seconds to protect the community,Detect and locate gunfire to guide police response and investigations,Residents and bystanders in sensor-covered neighborhoods,Acoustic gunshot alerts and incident locations,Acoustic Surveillance / Overpolicing,N,N,N,N,N,Y,N,"ShotSpotter is marketed as a gunshot-detection public safety tool, but critics say it is disproportionately deployed in Black neighborhoods and can intensify police encounters after false alerts.",https://www.soundthinking.com/shotspotter-public-safety-results/ https://www.reuters.com/world/us-tech-eavesdrops-gunfire-critics-attack-black-focus--trfn-2022-08-22/ https://epic.org/epic-files-petition-urging-attorney-general-garland-to-investigate-shotspotter-for-civil-rights-violations/
